city_vac,profession,salary,description
Сургут,кассир,30500.0,доброжелательное отношение детям коммуникабельность быстрая обучаемость стрессоустойчивость заработная плата &quotбелой&quot компании выплаты раза месяц сменный режим обучение форма оформление тк отпуск больничный место трц &quotситимолл&quot
Москва,персонал,85000.0,наличие образования области фитнеса наличие сертификата инструктора тренажерного зала приоритет fpa уверенные знания анатомии физиологии приветствуется наличие спортивных разрядов сертификатов области реабилитации лфк продаж сервиса лет индивидуально рассмотрим варианты приема высокие коммуникативные навыки дисциплинированность высокая ть ответственность желание умение коллективе
,персонал,35000.0,тренеруниверсал профильное образование подтвержденное сертификатами презентабельный внешний вид дисциплинированность стрессоустойчивость активная жизненная позиция
,персонал,100000.0,лет фитнес клубах студиях тренероминструктором групповых программ направлению pilates знание основ приветствуется малым большим оборудованием дисциплина ответственность пунктуальность обучаемость
Москва,персонал,165000.0,индустрии фитнеса х лет высшее профессиональное образование наличие дополнительного образования сфере фитнеса экспертные знания основ анатомии физиологии биомеханики диетологии личные спортивные регалии умение команде ориентироваться результат умение самоорганизации ведение отчетной документации пунктуальность
Оренбург,персонал,42500.0,законченное высшее образование психология управление персоналом знание технологии аттестации персонала знание методов технологий построения ведения тренингов знание применение техник продаж спин написания учебных программ тренингов проведения оценочных аттестационных мероприятий посттренингового сопровождения умение выступать большую аудиторию наличие допобразования сфере обучения персонала будет преимуществом желателен года сфере продаж желательно знание сcrm обязателен года сфере обучения развития персонала
Ставрополь,персонал,40000.0,менее лет направлении обучения развития персонала создания учебнометодических материалов тренингов проведения очных тренингов менее месяцев уверенный пользователь mc office power point excel участие обучениях формата «тренинг тренеров» будет вашим преимуществом
,слесарь,115000.0,года иностранными автомобилями мультибренде знание электронных схем автомобиля навыки чтения ошибок кодов неисправности электронных систем навыки диагностическими приборами launch bosch kts gscan
Санкт-Петербург,слесарь,57500.0,знание устройства современных а\м рено мастер фв транспортер форд транзит диагностическим оборудованием оборудованием заправке авто кондиционеров будет преимуществом
Калининград,слесарь,70000.0,знание устройства автомобилей умение документацией мануалами автомобилям х лет диагностомэлектриком будет вашим преимуществом
Москва,слесарь,115000.0,года иностранными автомобилями мультибренде знание электронных схем автомобиля навыки чтения ошибок кодов неисправности электронных систем навыки диагностическими приборами launch bosch kts gscan
